regle,n,duree_med_min,brut_bps,net_bps,t,win%,mois_pos,net_sans_10oct,OOS_bps,duree
1 h / stop serre / trail 1.0 / arm 0.5,13537,31,2.863958410047525,-16.123445077618417,-3.587577165680474,39.6321193765236,3/12,-16.751730127131527,-17.84353243077597,1 h
1 h / stop serre / trail 1.0 / arm 1.5,13024,55,7.651068878730848,-11.345421486292102,-2.2237356780046427,42.09920147420148,4/12,-12.086127182791206,-14.928834137128273,1 h
1 h / stop serre / trail 2.0 / arm 0.5,12802,61,8.922125105828199,-10.076777973947221,-1.7858031422148217,39.048586158412746,5/12,-10.399741504461574,-12.183371445261486,1 h
1 h / stop serre / trail 2.0 / arm 1.5,12782,61,8.481088112186248,-10.516977792617473,-1.8596125007153421,39.219214520419335,5/12,-10.809504972421959,-13.229335738264965,1 h
1 h / stop large / trail 1.0 / arm 0.5,12186,61,10.527487469200512,-8.474462904136415,-1.3949790382466394,42.056458230756604,5/12,-8.514758975299623,-16.707873897068584,1 h
1 h / stop large / trail 1.0 / arm 1.5,12014,61,7.316704865033521,-11.679150811317625,-1.8177883201379985,42.517063426003,5/12,-11.827226227297825,-22.72657817273681,1 h
1 h / stop large / trail 2.0 / arm 0.5,11924,61,5.8392735591536615,-13.153777661948796,-1.981234455104274,41.81482723918148,4/12,-13.352378989106564,-23.827034118070983,1 h
1 h / stop large / trail 2.0 / arm 1.5,11922,61,5.820862925868415,-13.172153348230452,-1.9782045112033575,41.88055695353129,4/12,-13.352114568911748,-23.941320654101055,1 h
2 h / stop serre / trail 1.0 / arm 0.5,12473,31,3.6091010322266754,-15.37971688271549,-3.002691348616777,39.03631844784735,4/12,-16.177852700533883,-16.91584372015668,2 h
2 h / stop serre / trail 1.0 / arm 1.5,11244,55,8.820065486894332,-10.178643863647883,-1.6292670707656427,41.76449662041978,5/12,-10.787513622821365,-14.188836169094573,2 h
2 h / stop serre / trail 2.0 / arm 0.5,10671,74,14.581578605796578,-4.428067230010537,-0.602400338248614,36.60387967388248,5/12,-4.555262856115845,-9.470266446517892,2 h
2 h / stop serre / trail 2.0 / arm 1.5,10616,77,14.936592992502638,-4.0737267304464355,-0.5512597449339505,37.000753579502636,6/12,-4.150209378521035,-9.221818903348035,2 h
2 h / stop large / trail 1.0 / arm 0.5,9434,121,17.61957685791706,-1.3958356961866902,-0.16945726676468983,41.76383294466822,6/12,-1.5817219807454759,-13.697030903757032,2 h
2 h / stop large / trail 1.0 / arm 1.5,8984,121,16.705595161264743,-2.3080824757865663,-0.2543787315770074,42.653606411398044,5/12,-2.5084193910603494,-21.2996585412061,2 h
2 h / stop large / trail 2.0 / arm 0.5,8801,121,15.069110903199379,-3.941460364812195,-0.41240231322995535,41.48392228155892,5/12,-4.189377605762349,-29.82583553216937,2 h
2 h / stop large / trail 2.0 / arm 1.5,8792,121,13.68194895874137,-5.325989203026669,-0.5538064917202007,41.51501364877161,5/12,-5.5553660693297,-31.102377618570113,2 h
3 h / stop serre / trail 1.0 / arm 0.5,12030,30,4.822178344776814,-14.168942229532808,-2.6512137648825442,39.019118869492935,2/12,-14.9776322276982,-14.712894005604603,3 h
3 h / stop serre / trail 1.0 / arm 1.5,10310,55,13.176227714065254,-5.830750489298411,-0.8518408244955571,41.959262851600386,5/12,-6.366834240782275,-10.006864461989814,3 h
3 h / stop serre / trail 2.0 / arm 0.5,9560,75,21.08272202794258,2.0607357430600075,0.2461945574705081,35.54393305439331,7/12,1.99175688230525,-7.794655897642042,3 h
3 h / stop serre / trail 2.0 / arm 1.5,9485,78,19.035827745477643,0.017726868594156998,0.002113625693906571,36.01476014760148,7/12,-0.007566847414406613,-11.073968012968933,3 h
3 h / stop large / trail 1.0 / arm 0.5,8052,176,19.103284896291978,0.08505597246655691,0.008681823723829725,41.505216095380035,5/12,0.20236790685513945,-14.871272972092182,3 h
3 h / stop large / trail 1.0 / arm 1.5,7404,181,10.91947584255699,-8.083218601821802,-0.7311893036707168,42.3419773095624,5/12,-7.9017203234205695,-32.32230619628147,3 h
3 h / stop large / trail 2.0 / arm 0.5,7162,181,17.538352447289835,-1.4769059269046265,-0.12535380206648913,41.1197989388439,6/12,-1.5648746712922466,-27.168104681136885,3 h
3 h / stop large / trail 2.0 / arm 1.5,7148,181,16.342031706267267,-2.6709558158287465,-0.22525871713696982,41.22831561275881,6/12,-2.7335126279853994,-27.2277084117128,3 h
4 h / stop serre / trail 1.0 / arm 0.5,11771,31,5.835032786881213,-13.158010384401274,-2.4055326668816197,38.934669951575906,2/12,-13.873391981093382,-13.712666327042507,4 h
4 h / stop serre / trail 1.0 / arm 1.5,9753,55,9.480119854975127,-9.519842408599063,-1.3196824994223215,41.146313954680615,4/12,-9.93558126957591,-14.590195440816048,4 h
4 h / stop serre / trail 2.0 / arm 0.5,8819,76,19.473120271561562,0.4541893274423801,0.04970693938140707,34.04014060551083,7/12,0.33207061064310467,-8.245545164262102,4 h
4 h / stop serre / trail 2.0 / arm 1.5,8747,79,15.47361359863379,-3.537725495064726,-0.385231976865076,34.41179833085629,6/12,-3.624067803991157,-13.87898920721799,4 h
4 h / stop large / trail 1.0 / arm 0.5,7188,175,17.075794596857122,-1.9385857515460247,-0.1769704223905712,41.082359488035614,5/12,-1.7149202215711548,-11.637905778952176,4 h
4 h / stop large / trail 1.0 / arm 1.5,6425,241,18.411550537220847,-0.6053653387178138,-0.048165766652406614,42.19455252918288,6/12,-0.7184726511632785,-22.496396468097025,4 h
4 h / stop large / trail 2.0 / arm 0.5,6160,241,9.425217788264135,-9.574640260387458,-0.6963239683865844,39.88636363636363,5/12,-9.433699482864249,-52.40084380469413,4 h
4 h / stop large / trail 2.0 / arm 1.5,6138,241,8.026036312613057,-10.971165814360386,-0.7957073011876249,39.996741609644836,5/12,-10.80080241630314,-51.7418054301872,4 h
