variante,n,n/j,brut_bps,net_bps,t,win%,hold_med,mois_pos,equity,maxDD%,sortie_dominante
burstx0.5 hold120 trail2.0 arm1.5,14094,38.6,1.4,-17.6,-4.6,30.4,10,1/12,0.001,99.9,stop
burstx0.5 hold240 trail2.0 arm0.5,13932,38.2,1.3,-17.7,-4.5,29.2,10,1/12,0.001,99.9,trail
burstx1.0 hold30 trail1.0 arm1.5,14064,38.5,1.1,-17.8,-4.3,41.6,31,4/12,0.001,100.0,time
sigmax8.0 hold30 trail1.0 arm0.5,13789,37.8,1.2,-17.8,-3.8,41.9,31,2/12,0.001,100.0,time
burstx1.0 hold30 trail1.0 arm0.5,14249,39.0,1.1,-17.9,-4.7,39.6,25,3/12,0.001,100.0,time
burstx0.5 hold30 trail2.0 arm0.5,14586,40.0,0.8,-18.2,-5.4,32.4,10,2/12,0.001,100.0,trail
sigmax4.0 hold30 trail1.0 arm0.5,14224,39.0,0.7,-18.3,-4.7,39.8,31,1/12,0.001,100.0,time
sigmax4.0 hold30 trail2.0 arm0.5,14021,38.4,0.6,-18.4,-4.1,40.1,31,1/12,0.0,100.0,time
burstx0.5 hold30 trail2.0 arm1.5,14574,39.9,0.4,-18.5,-5.5,33.0,10,1/12,0.001,100.0,stop
sigmax4.0 hold30 trail2.0 arm1.5,14017,38.4,0.4,-18.6,-4.1,40.3,31,1/12,0.0,100.0,time
burstx1.0 hold30 trail2.0 arm1.5,13990,38.3,0.4,-18.6,-4.1,39.8,31,3/12,0.0,100.0,time
sigmax4.0 hold30 trail1.0 arm1.5,14081,38.6,0.3,-18.7,-4.4,41.7,31,2/12,0.0,100.0,time
burstx1.0 hold30 trail2.0 arm0.5,13995,38.3,0.1,-18.9,-4.2,39.7,31,3/12,0.0,100.0,time
sigmax8.0 hold30 trail1.0 arm1.5,13722,37.6,-1.1,-20.0,-4.1,42.2,31,2/12,0.0,100.0,time
sigmax8.0 hold30 trail2.0 arm0.5,13700,37.5,-3.0,-22.0,-4.5,41.7,31,3/12,0.0,100.0,time
sigmax8.0 hold30 trail2.0 arm1.5,13699,37.5,-3.4,-22.4,-4.5,41.7,31,3/12,0.0,100.0,time
