symbol,n_days,first,last,qv_median_musd,qv_p25_musd,px_last,range_median_pct,weekend_ratio
AIGENSYNUSDT,125,2026-04-29,2026-08-31,8.012579,3.13669825,0.0195099990814924,9.352785110473633,0.7140089869499207
ENSUSDT,365,2025-09-01,2026-08-31,7.990592,4.8215995,5.8429999351501465,5.439335346221924,0.7338424921035767
SNXUSDT,365,2025-09-01,2026-08-31,7.929992,4.1979915,0.2069000005722046,6.6666646003723145,0.727724552154541
RESOLVUSDT,365,2025-09-01,2026-08-31,7.9245055,3.76661525,0.0172400008887052,8.81119155883789,0.7810920476913452
MUSDT,365,2025-09-01,2026-08-31,7.8666865,3.9459495,1.0961999893188477,9.163674354553224,0.8226441144943237
WUSDT,365,2025-09-01,2026-08-31,7.8649855,4.428297,0.0091779995709657,7.0763468742370605,0.7500829696655273
MORPHOUSDT,365,2025-09-01,2026-08-31,7.8260085,4.902955,2.5113000869750977,6.563104152679443,0.6518815755844116
1000LUNCUSDT,365,2025-09-01,2026-08-31,7.7078405,4.8823135,0.0507699996232986,5.766934394836426,0.7907285690307617
FFUSDT,337,2025-09-29,2026-08-31,7.68353,4.2416035,0.0856200009584426,6.500194072723389,0.8003177642822266
STABLEUSDT,299,2025-11-06,2026-08-31,7.6804385,3.733021,0.0281499996781349,9.31335735321045,0.6750468015670776
PIEVERSEUSDT,291,2025-11-14,2026-08-31,7.6640625,3.201416125,1.0246000289916992,10.448352813720703,1.0988781452178955
OPNUSDT,192,2026-02-21,2026-08-31,7.647038,4.53655575,0.0546500012278556,10.635818481445312,0.8994947075843811
ARCUSDT,365,2025-09-01,2026-08-31,7.643704,3.8251275,0.0698399990797042,10.970263481140137,0.9783409237861633
BASUSDT,365,2025-09-01,2026-08-31,7.4688885,3.19061225,0.0246239993721246,14.532889366149902,1.001356601715088
LINEAUSDT,365,2025-09-01,2026-08-31,7.4569285,3.166213,0.0025029999669641,7.078763008117676,0.8089860081672668
PLUMEUSDT,365,2025-09-01,2026-08-31,7.4429205,4.15220775,0.0145199997350573,8.47983169555664,0.7986749410629272
COMPUSDT,365,2025-09-01,2026-08-31,7.3745675,3.7540785,19.170000076293945,5.066928386688232,0.6303125023841858
SUSDT,365,2025-09-01,2026-08-31,7.354182,3.96643675,0.0277100000530481,6.659726142883301,0.8049929738044739
CCUSDT,305,2025-10-31,2026-08-31,7.3317105,4.4611355,0.1206599995493888,6.656753063201904,0.7281626462936401
POWERUSDT,269,2025-12-06,2026-08-31,7.153357,2.7892735,0.0837799981236457,11.401432037353516,0.8643325567245483
TRADOORUSDT,347,2025-09-19,2026-08-31,7.08961,3.17065775,0.5644000172615051,10.966546058654783,1.0535869598388672
4USDT,328,2025-10-08,2026-08-31,6.962875,3.109569625,0.0134739996865391,13.753377914428713,1.04708731174469
LYNUSDT,330,2025-10-06,2026-08-31,6.961747,2.9001285,0.0357000008225441,11.900689125061035,0.8914371132850647
CFXUSDT,365,2025-09-01,2026-08-31,6.759557,4.3422155,0.0456800013780593,5.8354268074035645,0.8589955568313599
NIGHTUSDT,265,2025-12-10,2026-08-31,6.7518435,4.01142125,0.018470000475645,7.33496618270874,0.8602592945098877
LIGHTUSDT,339,2025-09-27,2026-08-31,6.737256,3.164123875,0.1684000045061111,11.650477409362791,1.0363143682479858
JELLYJELLYUSDT,365,2025-09-01,2026-08-31,6.7214355,2.630713,0.0546200014650821,8.632845878601074,0.7281814217567444
BARDUSDT,348,2025-09-18,2026-08-31,6.659306,3.3579935625,0.1324000060558319,6.41878080368042,0.7917954325675964
MANAUSDT,365,2025-09-01,2026-08-31,6.622614,3.8411915,0.0716200023889541,5.546756267547607,0.8605140447616577
SYRUPUSDT,365,2025-09-01,2026-08-31,6.55099,3.5159155,0.186829999089241,6.605269908905029,0.7930733561515808
GRASSUSDT,365,2025-09-01,2026-08-31,6.5291295,3.60741775,0.3549999892711639,9.48301887512207,0.7199390530586243
GENIUSUSDT,138,2026-04-16,2026-08-31,6.512678,2.5666861875,0.2840000092983246,9.97326946258545,0.8660988807678223
ARKMUSDT,365,2025-09-01,2026-08-31,6.472303,3.9234795,0.1079000011086463,6.948386669158936,0.8763650059700012
HUMAUSDT,365,2025-09-01,2026-08-31,6.450183,3.52919825,0.0210839994251728,8.038393020629883,0.8342742323875427
BANANAS31USDT,365,2025-09-01,2026-08-31,6.422636,3.3691255,0.0082879997789859,8.615137100219727,0.7779096961021423
STXUSDT,365,2025-09-01,2026-08-31,6.3799165,4.14368425,0.2511000037193298,5.589893817901611,0.8231995701789856
AIXBTUSDT,365,2025-09-01,2026-08-31,6.3766665,3.2231665,0.0201399996876716,8.891161918640137,1.0092729330062866
UAIUSDT,299,2025-11-06,2026-08-31,6.2100955,3.553469625,0.376800000667572,12.73310375213623,0.7243398427963257
CFGUSDT,169,2026-03-16,2026-08-31,6.1528385,2.85825775,0.1076999977231025,9.09980583190918,0.5730728507041931
METUSDT,325,2025-10-11,2026-08-31,6.1416515,3.23215325,0.1962999999523162,8.42170238494873,0.738135039806366
SOONUSDT,365,2025-09-01,2026-08-31,6.103028,2.38151325,0.1973000019788742,8.438289642333984,0.8589350581169128
MMTUSDT,301,2025-11-04,2026-08-31,6.074334,2.8834085,0.1586000025272369,8.149166107177734,0.931315541267395
LAUSDT,365,2025-09-01,2026-08-31,6.043787,2.8701935,0.0609599985182285,7.860823154449463,1.1218430995941162
PEOPLEUSDT,365,2025-09-01,2026-08-31,6.010219,3.3435765,0.0078220004215836,6.873976230621338,0.7475261688232422
THETAUSDT,365,2025-09-01,2026-08-31,5.9557015,3.4845025,0.1687999963760376,5.9813385009765625,0.8652653098106384
XTZUSDT,365,2025-09-01,2026-08-31,5.9446905,2.833551,0.2124000042676925,5.025993824005127,0.7615383863449097
KASUSDT,365,2025-09-01,2026-08-31,5.936897,3.63220425,0.0278699994087219,5.600685119628906,0.7143502235412598
FLOWUSDT,365,2025-09-01,2026-08-31,5.8810805,1.945420125,0.0266699995845556,6.214282989501953,0.7025113701820374
GRTUSDT,365,2025-09-01,2026-08-31,5.8764835,3.63653575,0.0163499992340803,5.457335472106934,0.7055202126502991
AIAUSDT,348,2025-09-18,2026-08-31,5.862853,2.10827371875,0.0767000019550323,12.175183296203612,0.9569849371910095
PTBUSDT,363,2025-09-03,2026-08-31,5.813789,2.85233925,0.0007652000058442,13.61130142211914,0.8937066197395325
IMXUSDT,365,2025-09-01,2026-08-31,5.8098955,3.1709535,0.124499998986721,6.818180561065674,0.8298324346542358
MEMEUSDT,365,2025-09-01,2026-08-31,5.7582645,3.2959875,0.0005243999767117,6.723405361175537,0.741252601146698
SKYAIUSDT,365,2025-09-01,2026-08-31,5.718428,2.0142025,0.0537200011312961,12.632613182067873,0.9784722328186035
RUNEUSDT,365,2025-09-01,2026-08-31,5.7080955,3.67522,0.4796000123023987,4.907975196838379,0.654366672039032
SIRENUSDT,365,2025-09-01,2026-08-31,5.692153,1.461196,0.0303300004452466,10.90710735321045,1.0160636901855469
BLESSUSDT,343,2025-09-23,2026-08-31,5.667589,2.686310625,0.0103620002046227,13.339346885681152,1.1299961805343628
JASMYUSDT,365,2025-09-01,2026-08-31,5.6403075,3.56036775,0.0048290002159774,5.864326477050781,0.7108579874038696
MOVEUSDT,365,2025-09-01,2026-08-31,5.5803455,3.301722,0.0081139998510479,6.189661979675293,0.7106764912605286
OPENUSDT,358,2025-09-08,2026-08-31,5.510626,2.7227746875,0.1328999996185302,8.228153228759766,0.7772880792617798
COLLECTUSDT,244,2025-12-31,2026-08-31,5.489157,2.2741406875,0.0751399993896484,15.077614784240724,0.879841685295105
ALICEUSDT,365,2025-09-01,2026-08-31,5.455891,2.67794325,0.1340000033378601,7.407408237457275,0.7588284015655518
HEMIUSDT,365,2025-09-01,2026-08-31,5.4459805,2.69267975,0.0159889999777078,10.108552932739258,1.0133355855941772
IOUSDT,365,2025-09-01,2026-08-31,5.402631,2.8910235,0.1287000030279159,8.007333755493164,0.8044955730438232
SAGAUSDT,365,2025-09-01,2026-08-31,5.351478,2.86264425,0.01501000020653,7.982260704040527,0.9475355744361877
PRLUSDT,153,2026-04-01,2026-08-31,5.2961145,2.72952075,0.1580999940633773,11.747339248657228,0.7748968005180359
