symbol,n_days,qv_median_musd,weekend_ratio
DOTUSDT,365,143.216848,0.7104758024215698
DRIFTUSDT,297,9.453493,0.8764998912811279
DUSDT,235,3.81724675,0.8244577050209045
DUSKUSDT,365,4.217226,0.8069678544998169
DYDXUSDT,365,44.291688,0.6707153916358948
DYMUSDT,365,9.764828,0.7239193320274353
EDUUSDT,365,6.353022,0.785766065120697
EGLDUSDT,365,10.403749,0.7899107933044434
EIGENUSDT,335,83.850648,0.6932181715965271
ENAUSDT,365,363.936352,0.7785114049911499
ENJUSDT,365,7.6042415,0.7441678643226624
ENSUSDT,365,44.196188,0.6824046969413757
EOSUSDT,263,81.419304,0.6702090501785278
EPICUSDT,172,7.3694075,0.903262734413147
EPTUSDT,133,7.246456,0.8294864296913147
ETCUSDT,365,79.864944,0.6518718004226685
ETHFIUSDT,365,74.518736,0.6885992288589478
ETHUSDT,365,10621.56288,0.6078566908836365
ETHWUSDT,365,4.09502875,0.8930601477622986
FARTCOINUSDT,255,474.164896,0.6715197563171387
FETUSDT,365,112.76828,0.7263954877853394
FHEUSDT,142,5.7371305,1.089067816734314
FIDAUSDT,347,12.911677,0.7097377181053162
FILUSDT,365,128.209064,0.6765843629837036
FIOUSDT,346,4.06906575,0.7107796669006348
FISUSDT,129,5.9650435,0.7483376860618591
FLMUSDT,365,9.447616,0.8818855285644531
FLOWUSDT,365,15.487178,0.6467450261116028
FLUXUSDT,363,3.045566,0.7764336466789246
FORMUSDT,166,9.596154,0.8951148390769958
FUNUSDT,154,34.034224,0.5731226205825806
FXSUSDT,365,6.431094,0.7179537415504456
GALAUSDT,365,78.183344,0.7685970067977905
GASUSDT,365,8.764261,1.0619323253631592
GLMUSDT,365,7.5657665,0.9395327568054199
GMTUSDT,365,27.058534,0.7335140109062195
GMXUSDT,365,6.724298,0.7339522838592529
GOATUSDT,312,51.670116,0.7201026082038879
GPSUSDT,196,8.191171,0.7515887022018433
GRASSUSDT,297,25.164054,0.8135486841201782
GRIFFAINUSDT,242,34.883728,0.7068648338317871
GRTUSDT,365,20.35173,0.6982762813568115
GTCUSDT,365,5.8798255,0.7683629393577576
GUNUSDT,154,15.414194,0.7453274130821228
GUSDT,365,3.7243455,0.8312346339225769
HAEDALUSDT,123,23.938336,0.7098705768585205
HBARUSDT,365,117.427848,0.6965238451957703
HEIUSDT,200,5.977502,1.0788508653640747
HFTUSDT,365,4.261128,0.7911086082458496
HIFIUSDT,365,8.3069305,0.9324291944503784
HIGHUSDT,365,6.5888745,0.867882490158081
HIPPOUSDT,292,10.353683,0.8059902191162109
HIVEUSDT,252,5.476888,0.7070638537406921
HMSTRUSDT,340,17.248572,0.8256441950798035
HOOKUSDT,365,6.8062075,0.8071473836898804
HOTUSDT,365,6.190535,0.7445906400680542
HUMAUSDT,98,32.241322,0.663101077079773
HYPERUSDT,132,25.206362,0.5859822630882263
HYPEUSDT,94,283.344128,0.5937773585319519
ICPUSDT,365,32.703346,0.7204310894012451
ICXUSDT,365,5.5856875,0.7333754897117615
IDUSDT,365,8.750375,0.7788838148117065
ILVUSDT,365,5.113804,0.7339634299278259
IMXUSDT,365,18.950692,0.761014997959137
INITUSDT,138,42.570296,0.7220091819763184
INJUSDT,365,90.789672,0.7038921117782593
IOSTUSDT,365,5.348113,0.845696210861206
IOTAUSDT,365,14.334331,0.6890910267829895
IOTXUSDT,365,7.083081,0.775031328201294
IOUSDT,365,35.516892,0.6490479111671448
IPUSDT,200,39.35364,0.8368929624557495
JASMYUSDT,365,27.582828,0.6819402575492859
JELLYJELLYUSDT,159,12.465497,0.986061692237854
JOEUSDT,365,3.8052595,0.7881985902786255
JTOUSDT,365,37.758552,0.6370213627815247
JUPUSDT,365,62.017696,0.6837109923362732
KAIAUSDT,271,9.07447,0.6795647740364075
KAITOUSDT,193,64.641572,0.8270514607429504
KASUSDT,365,18.684908,0.7297113537788391
KAVAUSDT,365,12.846755,0.786088228225708
KDAUSDT,348,6.0835125,0.8066306114196777
KERNELUSDT,140,23.6827,0.7244858145713806
KMNOUSDT,255,6.2001435,0.835934579372406
KNCUSDT,365,4.498745,0.8540006279945374
KOMAUSDT,265,5.900196,0.8506330251693726
KSMUSDT,365,6.7918715,0.6995116472244263
LAYERUSDT,202,63.00216,0.859952986240387
LDOUSDT,365,75.691288,0.6922224164009094
LEVERUSDT,365,6.713535,0.9961971044540405
LINAUSDT,365,5.227301,0.6509314775466919
LINKUSDT,365,296.712192,0.6691608428955078
LISTAUSDT,365,13.218391,0.8696743249893188
LOKAUSDT,342,3.032144,0.8821326494216919
LPTUSDT,365,16.993296,0.7427607178688049
LQTYUSDT,365,9.690094,0.8052502870559692
LRCUSDT,365,5.909419,0.774789035320282
LTCUSDT,365,243.2772,0.6481184363365173
LUMIAUSDT,257,7.216052,0.9674652218818665
LUNA2USDT,365,9.707974,0.8372304439544678
MAGICUSDT,365,12.205737,0.861568033695221
MANAUSDT,365,18.229912,0.7052217721939087
MANTAUSDT,365,14.647715,0.7552652359008789
MASKUSDT,365,24.890294,0.7355211973190308
MAVIAUSDT,365,3.802855,0.8420737385749817
MAVUSDT,365,5.690664,0.8292073011398315
MBOXUSDT,365,6.3893485,0.8232471346855164
MELANIAUSDT,224,20.294316,0.747593343257904
MEMEFIUSDT,129,4.07286825,0.7195192575454712
MEMEUSDT,365,25.304378,0.7546380162239075
MERLUSDT,95,4.562123,0.8150792717933655
METISUSDT,365,5.2993615,0.7601616382598877
MEUSDT,265,13.84146,0.6809223890304565
MEWUSDT,365,22.669798,0.8526716232299805
MILKUSDT,118,3.031628,0.7351584434509277
MINAUSDT,365,10.421924,0.6817505955696106
MKRUSDT,365,48.693032,0.7243082523345947
MOCAUSDT,259,7.421007,0.5727413892745972
MOODENGUSDT,311,99.751968,0.9503628015518188
MORPHOUSDT,278,9.55742,0.5905479788780212
MOVEUSDT,266,70.917696,0.6563411951065063
MOVRUSDT,365,4.559076,0.7668396234512329
MTLUSDT,365,3.99229225,0.7709634304046631
MUBARAKUSDT,168,43.88428,0.8704321384429932
MYROUSDT,365,9.114151,0.79826819896698
NEARUSDT,365,134.784688,0.7199830412864685
NEIROETHUSDT,360,31.231356,0.88997882604599
NEIROUSDT,350,221.19392,0.7778154611587524
NEOUSDT,365,17.860528,0.7541562914848328
NFPUSDT,365,6.772462,0.8320032358169556
NILUSDT,161,11.722832,0.6668272614479065
NKNUSDT,365,3.861432,0.8122893571853638
NMRUSDT,365,5.257743,0.8461030721664429
NOTUSDT,365,43.67512,0.7649771571159363
NXPCUSDT,109,33.449504,0.5810924768447876
OBOLUSDT,117,7.376134,0.8855449557304382
OGNUSDT,365,5.451059,0.7962973117828369
OGUSDT,112,6.338931,1.2176185846328735
OMNIUSDT,365,11.912274,0.9578196406364441
OMUSDT,365,66.279592,0.8040907382965088
ONDOUSDT,365,133.196312,0.6830426454544067
ONEUSDT,365,8.281718,0.760586142539978
ONGUSDT,365,3.1817605,0.8931848406791687
ONTUSDT,365,5.9998345,0.7649628520011902
OPUSDT,365,114.816832,0.7305744290351868
ORCAUSDT,269,13.863703,0.6136581897735596
ORDIUSDT,365,113.557592,0.7785940170288086
PARTIUSDT,160,20.400756,0.822799026966095
PENDLEUSDT,365,52.87878,0.6599265933036804
PENGUUSDT,258,155.158272,0.669922411441803
PEOPLEUSDT,365,56.179932,0.7257952690124512
PERPUSDT,365,3.96780925,0.7686185836791992
PHAUSDT,245,5.548486,0.7071065306663513
PHBUSDT,365,7.1528745,0.7285645008087158
PIPPINUSDT,220,10.798078,0.7785691022872925
PIXELUSDT,365,12.59293,0.7358604073524475
PLUMEUSDT,164,7.876922,0.6719962358474731
PNUTUSDT,294,226.150912,0.7883616089820862
POLUSDT,353,31.223502,0.6887281537055969
POLYXUSDT,365,6.425357,0.8433920741081238
PONKEUSDT,301,6.4260375,0.804628312587738
POPCATUSDT,365,116.11716,0.6984362006187439
PORTALUSDT,365,11.022928,0.7630451321601868
POWRUSDT,365,4.006091,0.9023900628089905
PROMPTUSDT,143,8.106883,0.9160889983177185
PROMUSDT,229,4.236142,0.872290849685669
PUMPUSDT,142,17.67935,1.5078606605529785
PUNDIXUSDT,124,5.470115,0.5849541425704956
PYTHUSDT,365,21.25997,0.754274308681488
QNTUSDT,365,8.793218,0.7792838215827942
QTUMUSDT,365,6.7740735,0.7635077834129333
QUICKUSDT,360,3.19624375,0.832653284072876
RAREUSDT,365,15.342512,0.8614257574081421
RAYSOLUSDT,265,26.117984,0.6628168225288391
RDNTUSDT,365,7.5464745,0.7256994843482971
REDUSDT,179,9.017575,0.8239295482635498
REIUSDT,339,3.18758025,0.8866844177246094
RENDERUSDT,365,47.55236,0.6975281238555908
REZUSDT,365,17.44012,0.7810239195823669
RIFUSDT,365,3.12089,0.9199720621109009
RLCUSDT,365,4.473553,0.7466776967048645
RONINUSDT,365,4.9197275,0.6967101693153381
ROSEUSDT,365,11.799029,0.7547560930252075
RPLUSDT,357,5.81462,0.7404212951660156
RSRUSDT,365,15.221546,0.7706136703491211
RUNEUSDT,365,42.199804,0.7089182734489441
RVNUSDT,365,6.6193365,0.8274290561676025
SAFEUSDT,311,6.4983705,0.8381547927856445
SAGAUSDT,365,24.802766,0.7897644639015198
SANDUSDT,365,36.148544,0.8194913268089294
SANTOSUSDT,308,4.226731,0.9751113057136536
SCRUSDT,314,9.343389,0.7658438086509705
SEIUSDT,365,96.338296,0.7880800366401672
SFPUSDT,365,3.0281665,0.7119538187980652
SHELLUSDT,196,12.980468,0.5808854699134827
SIGNUSDT,126,10.671068,0.639829695224762
SIRENUSDT,163,6.4347995,1.124335765838623
SKLUSDT,365,6.1229545,0.7465780973434448
SKYAIUSDT,111,6.5638575,1.3952395915985107
SNXUSDT,365,13.408492,0.6772805452346802
SOLUSDT,365,3200.991232,0.6616838574409485
SOLVUSDT,227,14.170007,0.826667070388794
SONICUSDT,236,7.5096905,0.7095043659210205
SOONUSDT,101,26.090604,1.0627318620681763
SOPHUSDT,96,30.456188,0.7275729179382324
SPELLUSDT,365,7.259937,0.9626295566558838
SPXUSDT,265,54.193144,0.6983749270439148
SSVUSDT,365,14.311557,0.7520083785057068
STGUSDT,365,5.3933575,0.7277358770370483
STORJUSDT,365,7.4431655,0.961447536945343
