mois,regle,IS_bps,n_ep,OOS_net_bps
2025-03,rb0.03_br0.01_z4_oi-9.0_tout fwd_240,69.6,80,-74.3
2025-04,rb0.03_br0.01_z4_oi-9.0_tout fwd_240,47.7,86,-19.5
2025-05,rb0.03_br0.01_z3_oi-9.0_tout fwd_60,10.6,139,15.3
2025-06,rb0.03_br0.01_z3_oi-9.0_tout fwd_60,6.5,94,-72.4
2025-07,rb0.03_br0.01_z3_oi-9.0_tout fwd_60,-10.8,162,-93.1
2025-08,rb0.03_br1.0_z4_oi-9.0_us fwd_240,19.0,57,-16.1
2025-09,rb0.03_br1.0_z4_oi-9.0_us fwd_240,19.4,70,80.7
2025-10,rb0.03_br1.0_z4_oi-9.0_us fwd_240,58.5,85,185.6
2025-11,rb0.03_br0.01_z3_oi-9.0_tout fwd_240,103.0,160,59.7
2025-12,rb0.03_br0.01_z3_oi-9.0_tout fwd_240,121.4,136,80.5
2026-01,rb0.03_br0.01_z3_oi-9.0_us fwd_240,205.5,31,97.9
2026-02,rb0.03_br0.01_z3_oi-9.0_tout fwd_240,169.8,155,-22.8
2026-03,rb0.03_br0.01_z3_oi-9.0_us fwd_240,222.0,63,-7.7
2026-04,rb0.03_br0.01_z3_oi-9.0_tout fwd_240,127.5,152,-66.2
2026-05,rb0.03_br1.0_z3_oi-9.0_euro fwd_240,80.6,91,-52.6
2026-06,rb0.03_br0.01_z4_oi-9.0_tout fwd_120,41.1,117,89.5
2026-07,rb0.05_br1.0_z3_oi-9.0_euro fwd_120,112.4,56,-74.3
2026-08,rb0.03_br1.0_z3_oi-9.0_euro fwd_60,34.0,82,40.9
