mois,regle,IS_bps,n_ep,OOS_net_bps
2025-03,rb0.03_br0.01_z4_oi-9.0_tout fwd_240,69.6,80,-74.3
2025-04,rb0.03_br0.01_z4_oi-9.0_tout fwd_240,47.7,86,-19.5
2025-05,rb0.03_br0.01_z4_oi-9.0_us fwd_120,87.7,44,84.7
2025-06,rb0.03_br0.01_z4_oi-9.0_us fwd_120,112.5,22,-376.7
2025-07,rb0.03_br0.01_z4_oi-9.0_us fwd_120,63.2,35,-98.9
2025-08,rb0.03_br0.01_z4_oi-9.0_us fwd_120,35.8,32,74.4
2025-09,rb0.03_br0.01_z4_oi-9.0_us fwd_240,52.1,17,476.5
2025-10,rb0.05_br1.0_z3_oi-9.0_tout fwd_240,104.6,187,31.6
2025-11,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,219.1,47,565.7
2025-12,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,340.3,36,116.1
2026-01,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,345.3,26,-183.7
2026-02,rb0.03_br0.01_z3_oi-9.0_euro fwd_120,248.9,51,-33.3
2026-03,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,336.5,52,103.8
2026-04,rb0.03_br0.01_z3_oi-9.0_euro fwd_120,176.1,44,71.9
2026-05,rb0.03_br0.01_z3_oi-9.0_euro fwd_120,106.6,57,-55.7
2026-06,rb0.05_br1.0_z3_oi-9.0_euro fwd_120,150.6,70,133.9
2026-07,rb0.05_br1.0_z3_oi-9.0_euro fwd_120,112.4,56,-74.3
2026-08,rb0.03_br0.01_z4_oi-9.0_euro fwd_120,84.4,12,151.9
