symbol,n_days,first,last,qv_median_musd,qv_p25_musd,px_last,range_median_pct
ZAMAUSDT,235,2026-01-09,2026-08-31,9.389341,4.8883975,0.050039999186992645,9.056609153747559
UBUSDT,354,2025-09-12,2026-08-31,9.321272,2.9857534375,0.12165000289678574,13.467225074768066
PNUTUSDT,365,2025-09-01,2026-08-31,9.119617,5.040512,0.047970000654459,6.876893997192383
PYTHUSDT,365,2025-09-01,2026-08-31,9.084999,5.7449435,0.04950999841094017,6.970653057098389
TRBUSDT,365,2025-09-01,2026-08-31,8.964571,4.884936,16.927000045776367,5.799767971038818
BOMEUSDT,365,2025-09-01,2026-08-31,8.931499,4.9925805,0.000881000014487654,7.540293216705322
ARUSDT,365,2025-09-01,2026-08-31,8.85784,5.227708,2.065999984741211,6.6301398277282715
ROBOUSDT,186,2026-02-27,2026-08-31,8.818587,5.1524015,0.012419999577105045,9.365168571472168
SAHARAUSDT,365,2025-09-01,2026-08-31,8.800892,4.7500135,0.00841899961233139,6.212140083312988
VETUSDT,365,2025-09-01,2026-08-31,8.695053,5.1357555,0.006703999824821949,5.177806377410889
TURBOUSDT,365,2025-09-01,2026-08-31,8.668521,4.7914995,0.0009458999847993255,7.244112491607666
ZKUSDT,365,2025-09-01,2026-08-31,8.618925,4.8387875,0.008791999891400337,6.944450855255127
MERLUSDT,365,2025-09-01,2026-08-31,8.371268,2.6514665,0.020320000126957893,10.02934455871582
CYSUSDT,263,2025-12-12,2026-08-31,8.3508815,2.77527425,0.6226999759674072,14.825870513916016
ZBTUSDT,319,2025-10-17,2026-08-31,8.288938,4.39928575,0.08427999913692474,8.969212532043457
MSFTUSDT,134,2026-04-20,2026-08-31,8.279597,2.816577375,508.260009765625,2.331109046936035
DEXEUSDT,365,2025-09-01,2026-08-31,8.213836,2.445984,2.063999891281128,8.63428783416748
XPTUSDT,214,2026-01-30,2026-08-31,8.149756,4.5173435,1798.56005859375,3.1070892810821533
ENSOUSDT,322,2025-10-14,2026-08-31,8.120219,4.0497819375,0.8845000267028809,8.116175651550293
AIGENSYNUSDT,125,2026-04-29,2026-08-31,8.012579,3.13669825,0.019509999081492424,9.352785110473633
ENSUSDT,365,2025-09-01,2026-08-31,7.990592,4.8215995,5.8429999351501465,5.439335346221924
SNXUSDT,365,2025-09-01,2026-08-31,7.929992,4.1979915,0.2069000005722046,6.6666646003723145
RESOLVUSDT,365,2025-09-01,2026-08-31,7.9245055,3.76661525,0.017240000888705254,8.81119155883789
MUSDT,365,2025-09-01,2026-08-31,7.8666865,3.9459495,1.0961999893188477,9.163674354553223
WUSDT,365,2025-09-01,2026-08-31,7.8649855,4.428297,0.009177999570965767,7.0763468742370605
MORPHOUSDT,365,2025-09-01,2026-08-31,7.8260085,4.902955,2.5113000869750977,6.563104152679443
1000LUNCUSDT,365,2025-09-01,2026-08-31,7.7078405,4.8823135,0.050769999623298645,5.766934394836426
FFUSDT,337,2025-09-29,2026-08-31,7.68353,4.2416035,0.08562000095844269,6.500194072723389
STABLEUSDT,299,2025-11-06,2026-08-31,7.6804385,3.733021,0.028149999678134918,9.31335735321045
PIEVERSEUSDT,291,2025-11-14,2026-08-31,7.6640625,3.201416125,1.0246000289916992,10.448352813720703
OPNUSDT,192,2026-02-21,2026-08-31,7.647038,4.53655575,0.05465000122785568,10.635818481445312
ARCUSDT,365,2025-09-01,2026-08-31,7.643704,3.8251275,0.06983999907970428,10.970263481140137
BASUSDT,365,2025-09-01,2026-08-31,7.4688885,3.19061225,0.024623999372124672,14.532889366149902
LINEAUSDT,365,2025-09-01,2026-08-31,7.4569285,3.166213,0.0025029999669641256,7.078763008117676
PLUMEUSDT,365,2025-09-01,2026-08-31,7.4429205,4.15220775,0.014519999735057354,8.47983169555664
COMPUSDT,365,2025-09-01,2026-08-31,7.3745675,3.7540785,19.170000076293945,5.066928386688232
SUSDT,365,2025-09-01,2026-08-31,7.354182,3.96643675,0.027710000053048134,6.659726142883301
CCUSDT,305,2025-10-31,2026-08-31,7.3317105,4.4611355,0.12065999954938889,6.656753063201904
PLTRUSDT,204,2026-02-09,2026-08-31,7.2836055,2.29622275,186.4499969482422,3.9148905277252197
POWERUSDT,269,2025-12-06,2026-08-31,7.153357,2.7892735,0.08377999812364578,11.401432037353516
TRADOORUSDT,347,2025-09-19,2026-08-31,7.08961,3.17065775,0.5644000172615051,10.966546058654785
4USDT,328,2025-10-08,2026-08-31,6.962875,3.109569625,0.013473999686539173,13.753377914428711
LYNUSDT,330,2025-10-06,2026-08-31,6.961747,2.9001285,0.0357000008225441,11.900689125061035
AXTIUSDT,85,2026-06-08,2026-08-31,6.8842195,3.96785175,60.41999816894531,12.039819717407227
NOKUSDT,92,2026-06-01,2026-08-31,6.8709095,2.079267875,10.140000343322754,5.415647506713867
DELLUSDT,90,2026-06-03,2026-08-31,6.835103,1.66647784375,460.3800048828125,5.820091724395752
CFXUSDT,365,2025-09-01,2026-08-31,6.759557,4.3422155,0.04568000137805939,5.8354268074035645
NIGHTUSDT,265,2025-12-10,2026-08-31,6.7518435,4.01142125,0.018470000475645065,7.33496618270874
LIGHTUSDT,339,2025-09-27,2026-08-31,6.737256,3.164123875,0.16840000450611115,11.650477409362793
BEUSDT,98,2026-05-26,2026-08-31,6.7288455,1.8810823125,206.10000610351562,8.248629570007324
JELLYJELLYUSDT,365,2025-09-01,2026-08-31,6.7214355,2.630713,0.05462000146508217,8.632845878601074
BARDUSDT,348,2025-09-18,2026-08-31,6.659306,3.3579935625,0.1324000060558319,6.41878080368042
MANAUSDT,365,2025-09-01,2026-08-31,6.622614,3.8411915,0.07162000238895416,5.546756267547607
SYRUPUSDT,365,2025-09-01,2026-08-31,6.55099,3.5159155,0.18682999908924103,6.605269908905029
GRASSUSDT,365,2025-09-01,2026-08-31,6.5291295,3.60741775,0.35499998927116394,9.48301887512207
GENIUSUSDT,138,2026-04-16,2026-08-31,6.512678,2.5666861875,0.2840000092983246,9.97326946258545
ARKMUSDT,365,2025-09-01,2026-08-31,6.472303,3.9234795,0.10790000110864639,6.9483866691589355
HUMAUSDT,365,2025-09-01,2026-08-31,6.450183,3.52919825,0.021083999425172806,8.038393020629883
BANANAS31USDT,365,2025-09-01,2026-08-31,6.422636,3.3691255,0.008287999778985977,8.615137100219727
STXUSDT,365,2025-09-01,2026-08-31,6.3799165,4.14368425,0.25110000371932983,5.589893817901611
AIXBTUSDT,365,2025-09-01,2026-08-31,6.3766665,3.2231665,0.02013999968767166,8.891161918640137
AAPLUSDT,148,2026-04-06,2026-08-31,6.220732,2.1697405,317.3599853515625,1.9670931100845337
QCOMUSDT,118,2026-05-06,2026-08-31,6.217015,3.119796125,170.5,4.756058216094971
AMZNUSDT,204,2026-02-09,2026-08-31,6.2137405,1.89311928125,260.55999755859375,2.389672040939331
UAIUSDT,299,2025-11-06,2026-08-31,6.2100955,3.553469625,0.376800000667572,12.73310375213623
